Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
HLFQ.S8CSEHQF9,2004.03,2.5,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2004.06,2.7,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2004.09,2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2004.12,2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2005.03,1.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2005.06,2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2005.09,1.9,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2005.12,2.2,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2006.03,2.1,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
HLFQ.S8CSEHQF9,2006.06,2.1,FINAL,Number,3,Household Labour Force Survey - HLF,Youth NEET by Regional Council by Age - Sampling Errors,Sampling errors,Working age population,Taranaki,Total aged 15-24 years,
